individual_quintile,area_quintile,population,level,outcome,city_id
3,3,200510,seccion,avg_pm25,bogota_2018
1,1,232628,seccion,avg_pm25,bogota_2018
2,1,249572,seccion,avg_pm25,bogota_2018
3,1,94959,seccion,avg_pm25,bogota_2018
4,1,84071,seccion,avg_pm25,bogota_2018
5,1,13525,seccion,avg_pm25,bogota_2018
1,5,67799,seccion,avg_pm25,bogota_2018
2,5,41323,seccion,avg_pm25,bogota_2018
3,5,125442,seccion,avg_pm25,bogota_2018
4,5,178508,seccion,avg_pm25,bogota_2018
5,5,555743,seccion,avg_pm25,bogota_2018
1,4,144104,sector,hrs_d_pm10_it1,bogota_2018
2,4,156263,sector,hrs_d_pm10_it1,bogota_2018
3,4,190355,sector,hrs_d_pm10_it1,bogota_2018
4,4,288958,sector,hrs_d_pm10_it1,bogota_2018
5,4,194398,sector,hrs_d_pm10_it1,bogota_2018
1,3,181263,sector,hrs_d_pm10_it1,bogota_2018
2,3,206579,sector,hrs_d_pm10_it1,bogota_2018
4,3,213686,sector,hrs_d_pm10_it1,bogota_2018
5,3,115637,sector,hrs_d_pm10_it1,bogota_2018
3,3,217275,sector,hrs_d_pm10_it1,bogota_2018
1,2,191351,sector,hrs_d_pm10_it1,bogota_2018
2,2,223792,sector,hrs_d_pm10_it1,bogota_2018
4,2,152645,sector,hrs_d_pm10_it1,bogota_2018
5,2,35656,sector,hrs_d_pm10_it1,bogota_2018
3,2,141638,sector,hrs_d_pm10_it1,bogota_2018
1,1,214156,sector,hrs_d_pm10_it1,bogota_2018
2,1,242048,sector,hrs_d_pm10_it1,bogota_2018
3,1,81695,sector,hrs_d_pm10_it1,bogota_2018
4,1,85292,sector,hrs_d_pm10_it1,bogota_2018
5,1,12678,sector,hrs_d_pm10_it1,bogota_2018
1,5,74529,sector,hrs_d_pm10_it1,bogota_2018
2,5,44504,sector,hrs_d_pm10_it1,bogota_2018
3,5,130599,sector,hrs_d_pm10_it1,bogota_2018
4,5,174876,sector,hrs_d_pm10_it1,bogota_2018
5,5,541061,sector,hrs_d_pm10_it1,bogota_2018
1,4,144104,sector,hrs_d_pm10_it2,bogota_2018
2,4,156263,sector,hrs_d_pm10_it2,bogota_2018
3,4,190355,sector,hrs_d_pm10_it2,bogota_2018
4,4,288958,sector,hrs_d_pm10_it2,bogota_2018
5,4,194398,sector,hrs_d_pm10_it2,bogota_2018
1,3,181263,sector,hrs_d_pm10_it2,bogota_2018
2,3,206579,sector,hrs_d_pm10_it2,bogota_2018
4,3,213686,sector,hrs_d_pm10_it2,bogota_2018
5,3,115637,sector,hrs_d_pm10_it2,bogota_2018
3,3,217275,sector,hrs_d_pm10_it2,bogota_2018
1,2,191351,sector,hrs_d_pm10_it2,bogota_2018
2,2,223792,sector,hrs_d_pm10_it2,bogota_2018
4,2,152645,sector,hrs_d_pm10_it2,bogota_2018
5,2,35656,sector,hrs_d_pm10_it2,bogota_2018
3,2,141638,sector,hrs_d_pm10_it2,bogota_2018
1,1,214156,sector,hrs_d_pm10_it2,bogota_2018
2,1,242048,sector,hrs_d_pm10_it2,bogota_2018
3,1,81695,sector,hrs_d_pm10_it2,bogota_2018
4,1,85292,sector,hrs_d_pm10_it2,bogota_2018
5,1,12678,sector,hrs_d_pm10_it2,bogota_2018
1,5,74529,sector,hrs_d_pm10_it2,bogota_2018
2,5,44504,sector,hrs_d_pm10_it2,bogota_2018
3,5,130599,sector,hrs_d_pm10_it2,bogota_2018
4,5,174876,sector,hrs_d_pm10_it2,bogota_2018
5,5,541061,sector,hrs_d_pm10_it2,bogota_2018
1,4,144104,sector,avg_pm10,bogota_2018
2,4,156263,sector,avg_pm10,bogota_2018
3,4,190355,sector,avg_pm10,bogota_2018
4,4,288958,sector,avg_pm10,bogota_2018
5,4,194398,sector,avg_pm10,bogota_2018
1,3,181263,sector,avg_pm10,bogota_2018
2,3,206579,sector,avg_pm10,bogota_2018
4,3,213686,sector,avg_pm10,bogota_2018
5,3,115637,sector,avg_pm10,bogota_2018
3,3,217275,sector,avg_pm10,bogota_2018
1,2,191351,sector,avg_pm10,bogota_2018
