Area,Day,Hour,temp_2m,temp_850hPa,inversion,Inversion_dummy
Santiago,2023-01-15,22,293.37524,291.5304,-1.8448486,0
Santiago,2023-01-15,23,292.0677,290.86105,-1.2066345,0
Santiago,2023-01-16,0,289.87164,290.28937,0.4177246,1
Santiago,2023-01-16,1,288.99866,289.86917,0.8705139,1
Santiago,2023-01-16,2,288.3324,289.80316,1.4707642,1
Santiago,2023-01-16,3,286.67297,289.93948,3.26651,1
Santiago,2023-01-16,4,285.69025,290.04114,4.350891,1
Santiago,2023-01-16,5,284.66547,290.01013,5.3446655,1
Santiago,2023-01-16,6,284.0434,289.95605,5.9126587,1
Santiago,2023-01-16,7,283.48077,289.90393,6.4231567,1
Santiago,2023-01-16,8,282.98285,289.7223,6.739441,1
Santiago,2023-01-16,9,282.5984,289.53848,6.940094,1
Santiago,2023-01-16,10,282.46008,289.48462,7.024536,1
Santiago,2023-01-16,11,284.042,290.1458,6.103821,1
Santiago,2023-01-16,12,287.01318,290.1619,3.1487122,1
Santiago,2023-01-16,13,288.5598,290.30466,1.7448425,1
Santiago,2023-01-16,14,290.07013,290.3991,0.3289795,1
Santiago,2023-01-16,15,291.36633,290.36203,-1.004303,0
Santiago,2023-01-16,16,292.49164,290.50632,-1.985321,0
Santiago,2023-01-16,17,293.12164,290.64166,-2.4799805,0
Santiago,2023-01-16,18,293.2517,290.4119,-2.8398132,0
Santiago,2023-01-16,19,293.1223,290.7049,-2.4174194,0
Santiago,2023-01-16,20,292.7987,290.81433,-1.984375,0
Santiago,2023-01-16,21,292.15662,290.73895,-1.4176636,0
Santiago,2023-01-16,22,291.3863,290.05402,-1.3322754,0
Santiago,2023-01-16,23,290.07544,289.60016,-0.47528076,0
Santiago,2023-01-17,0,287.97168,289.03735,1.0656738,1
Santiago,2023-01-17,1,287.12524,288.74722,1.6219788,1
Santiago,2023-01-17,2,286.2633,288.9933,2.7299805,1
Santiago,2023-01-17,3,285.06903,289.2044,4.135376,1
